Date,Open,High,Low,Close,Adj Close,Volume
2016-08-10,34900,35000,33650,33800,32083.74023,3193311
2016-08-11,33700,34800,33450,34800,33032.96875,2980478
2016-08-12,34450,35100,34200,34350,32605.81445,2437735
2016-08-16,34950,34950,33700,33700,31988.81836,2883043
2016-08-17,33750,33900,32900,33550,31846.43555,2083372
2016-08-18,33550,34250,33550,34150,32415.9707,1855081
2016-08-19,34400,35400,34200,35400,33602.49609,4683750
2016-08-22,35500,36050,35250,36000,34172.03516,4149396
2016-08-23,36250,36300,35550,35600,33792.33984,3014421
2016-08-24,35900,35950,35300,35750,33934.72266,1689924
2016-08-25,35100,35750,34900,35700,33887.26172,1568516
2016-08-26,35850,36350,35750,36250,34409.33984,2635343
2016-08-29,35350,36400,35300,36250,34409.33984,2782441
2016-08-30,36800,36950,35550,36300,34456.80078,2766460
2016-08-31,36400,36450,35750,36450,34599.18359,2832970
2016-09-01,36400,36400,35700,36100,34266.95703,1713669
2016-09-02,36100,36700,35950,36650,34789.02734,1828390
2016-09-05,36900,37500,36850,37500,35595.86719,2337575
2016-09-06,37750,38000,37350,38000,36070.48047,2123160
2016-09-07,38200,38800,37900,37900,35975.55859,3786844
2016-09-08,37900,38700,37900,38700,36734.9375,3698781
2016-09-09,38550,39000,38350,38950,36972.24219,2748415
2016-09-12,37500,38300,37000,37000,35121.25391,4885896
2016-09-13,37600,38300,37500,37800,35880.63672,3928646
2016-09-19,38700,39450,38250,39200,37209.54688,5283684
2016-09-20,39200,39450,38750,39250,37257.00781,2594490
2016-09-21,39000,39150,38650,39150,37162.08594,1731450
2016-09-22,39800,39800,39150,39400,37399.39063,3214630
2016-09-23,39550,39650,39050,39350,37351.92969,2095120
2016-09-26,39350,39500,38800,39500,37494.3125,1669862
2016-09-27,39400,41150,39150,41150,39060.53125,4001505
2016-09-28,41300,42000,40950,41200,39107.99219,4189804
2016-09-29,40600,40750,40150,40200,38158.77344,3976705
2016-09-30,39750,40950,39600,40200,38158.77344,3764773
2016-10-04,41500,41800,41000,41800,39677.52734,3639803
2016-10-05,42150,42950,41200,42600,40436.90234,4387312
2016-10-06,43100,43150,42400,42550,40389.44141,2815496
2016-10-07,42700,42700,41900,42200,40057.21484,2637734
2016-10-10,42200,42500,41200,41300,39202.91406,2916252
2016-10-11,41300,42000,41100,41300,39202.91406,2810503
2016-10-12,41000,41900,41000,41250,39155.45313,3521492
2016-10-13,41450,41700,40950,40950,38870.6875,3638071
2016-10-14,41300,41900,41200,41550,39440.22266,2708972
2016-10-17,41750,42300,41400,42300,40152.13672,2314725
2016-10-18,42200,42300,41300,41650,39535.14453,2559222
2016-10-19,41150,41450,39850,40050,38016.39063,5033246
2016-10-20,40250,40300,38850,40050,38016.39063,5423960
2016-10-21,39500,41000,39500,40950,38870.6875,2436212
2016-10-24,41000,41150,39850,40150,38111.3125,2211109
2016-10-25,40350,41650,40200,41050,38965.60938,4469224
2016-10-26,41300,42900,41300,42900,40721.67188,6364037
2016-10-27,42900,43600,42600,43000,40816.59375,4814197
2016-10-28,42700,42950,42100,42450,40294.51953,2251179
2016-10-31,42500,42900,41000,41000,38918.14844,3297943
2016-11-01,41700,42350,41600,42000,39867.37109,3173446
2016-11-02,41250,41400,40450,41000,38918.14844,2822651
2016-11-03,40900,41700,40700,41150,39060.53125,2580396
2016-11-04,41150,41400,40850,41200,39107.99219,2600930
2016-11-07,41800,42050,41200,41500,39392.76172,2033220
2016-11-08,42100,42150,41250,41500,39392.76172,1882987
2016-11-09,41650,41750,38700,39650,37636.69922,5779291
2016-11-10,41000,41050,40500,41000,38918.14844,2520434
2016-11-11,40000,40450,39550,39850,37826.54297,2962651
2016-11-14,40000,40450,39700,39700,37684.16016,1589911
2016-11-15,39700,40400,39500,39700,37684.16016,2030086
2016-11-16,40450,41000,40250,40850,38775.76563,2101878
2016-11-17,41500,41900,41200,41900,39772.44922,2383464
2016-11-18,42300,42400,41700,42000,39867.37109,3331134
2016-11-21,41800,41900,40650,40750,38680.84375,1883627
2016-11-22,41250,42800,41200,42700,40531.82813,3306186
2016-11-23,43000,43900,42550,43050,40864.05469,4047443
2016-11-24,43350,43850,42500,42650,40484.36328,1789745
2016-11-25,43050,43300,42250,42600,40436.90234,1328958
2016-11-28,42400,43250,42100,42600,40436.90234,1513215
2016-11-29,42400,43100,41800,42400,40247.05859,1777480
2016-11-30,42900,43800,42650,42900,40721.67188,4325524
2016-12-01,43000,44400,43000,44200,41955.66406,3491185
2016-12-02,43350,44500,43300,44400,42145.50781,4244113
2016-12-05,44050,44600,43800,44400,42145.50781,1703219
